,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Aleatorio,"(18, '9.0%')",Agente Basado en Reglas,"(182, '91.0%')",0,0,0,0,200,2,0.05996847152709961,0.0002998423576354981,6.251772244771321e-05,3.329018751780192e-05
1,Agente Basado en Reglas,"(170, '85.0%')",Agente Aleatorio,"(30, '15.0%')",0,0,0,0,200,2,0.07701683044433594,0.0003850841522216797,3.877421220143636e-05,7.164994875590007e-05
2,Agente Aleatorio,"(6, '3.0%')",Agente Alfa-Beta,"(194, '97.0%')",0,2,0,5,200,2,1.7519173622131348,0.008759586811065674,7.663607597351074e-05,0.0027749824523925774
3,Agente Alfa-Beta,"(199, '99.5%')",Agente Aleatorio,"(1, '0.5%')",2,0,5,0,200,2,3.1319870948791504,0.01565993547439575,0.004413238167762756,7.58618116378784e-05
4,Agente Basado en Reglas,"(0, '0.0%')",Agente Alfa-Beta,"(1, '100.0%')",0,2,0,3,1,2,0.011000633239746094,0.011000633239746094,0.0,0.0036668777465820312
5,Agente Alfa-Beta,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",2,0,5,0,1,2,0.016999006271362305,0.016999006271362305,0.003999650478363037,0.0
6,Agente Aleatorio,"(28, '14.000000000000002%')",Agente Basado en Reglas,"(172, '86.0%')",0,0,0,0,200,3,0.33901333808898926,0.0016950666904449463,0.00010973725621662441,8.539636645998271e-05
7,Agente Basado en Reglas,"(173, '86.5%')",Agente Aleatorio,"(27, '13.5%')",0,0,0,0,200,3,0.33603477478027344,0.0016801738739013672,6.797460289228531e-05,0.00013371400511454025
8,Agente Aleatorio,"(14, '7.000000000000001%')",Agente Alfa-Beta,"(186, '93.0%')",0,2,0,22,200,3,190.9029257297516,0.9545146286487579,0.000140738007310149,0.10692547963514468
9,Agente Alfa-Beta,"(188, '94.0%')",Agente Aleatorio,"(12, '6.0%')",2,0,22,0,200,3,221.46319580078125,1.1073159790039062,0.11633187915429925,0.00011329115335903467
10,Agente Basado en Reglas,"(1, '100.0%')",Agente Alfa-Beta,"(0, '0.0%')",0,2,0,14,1,3,0.7979991436004639,0.7979991436004639,0.0001109970940483941,0.09962502121925354
11,Agente Alfa-Beta,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",2,0,17,0,1,3,0.9549984931945801,0.9549984931945801,0.10588873757256402,0.0002499818801879883
