,Jugador 1,Victorias 1,Jugador 2,Victorias 2,Profundidad 1,Profundidad 2,Ramificación máxima 1,Ramificación máxima 2,N.º Partidas,Tamaño del Tablero,Tiempo total,Tiempo medio por partida,Tiempo medio para mover 1,Tiempo medio para mover 2
0,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,2,0.0,0.0,0.0,0.0
1,Agente Basado en Reglas,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",0,0,0,0,1,3,0.0009984970092773438,0.0009984970092773438,0.0,0.00012481212615966797
2,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,4,0.00500178337097168,0.00500178337097168,0.00021237986428397044,0.00014489037649972097
3,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,5,0.020997047424316406,0.020997047424316406,0.00044428783914317256,0.00042585704637610394
4,Agente Basado en Reglas,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",0,0,0,0,1,6,0.06500029563903809,0.06500029563903809,0.0009406524546006147,0.0009095235304398971
5,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,7,0.12999773025512695,0.12999773025512695,0.001422119140625,0.0014222568935818142
6,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,8,0.28999805450439453,0.28999805450439453,0.0022458717471263447,0.0024262178139608415
7,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,9,0.5870006084442139,0.5870006084442139,0.0039222426228709036,0.0036362022548526913
8,Agente Basado en Reglas,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",0,0,0,0,1,10,1.150989294052124,1.150989294052124,0.005989310642083486,0.006000164935463353
9,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,11,1.8920037746429443,1.8920037746429443,0.008086000752245259,0.007990839134933602
10,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,12,3.951188802719116,3.951188802719116,0.01401492160001247,0.014303106198207937
11,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,13,5.41551661491394,5.41551661491394,0.016527684529622395,0.016172355594057025
12,Agente Basado en Reglas,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",0,0,0,0,1,14,8.539000988006592,8.539000988006592,0.022604984986154656,0.022333615671389948
13,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,15,13.078028202056885,13.078028202056885,0.029702265338120957,0.029361239385820623
14,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,16,19.550967931747437,19.550967931747437,0.03935694311517309,0.03899238770266613
15,Agente Basado en Reglas,"(0, '0.0%')",Agente Basado en Reglas,"(1, '100.0%')",0,0,0,0,1,17,27.16298508644104,27.16298508644104,0.04779976376316004,0.047386176962601514
16,Agente Basado en Reglas,"(1, '100.0%')",Agente Basado en Reglas,"(0, '0.0%')",0,0,0,0,1,18,39.719521045684814,39.719521045684814,0.06303279233884208,0.06272112982613699
